Cell line,Treatment,No. of individual cells
Wild type ,DMSO,3.3
Wild type ,DMSO,0
Wild type ,DMSO,0
Wild type,FSK,23
Wild type,FSK,10
Wild type ,FSK,23
FAM134B1C3+V5,DMSO,0
FAM134B1C3+V5,DMSO,1.6
FAM134B1C3+V5,FSK,0
FAM134B1C3+V5,FSK,3.6
FAM134B1C3+V5,FSK,7.6
FAM134B1C3+FAMB,DMSO,0
FAM134B1C3+FAMB,DMSO,3
FAM134B1C3+FAMB,DMSO,0
FAM134B1C3+FAMB,FSK,14
FAM134B1C3+FAMB,FSK,12
FAM134B1C3+FAMB,FSK,18
FAM134B1C3+FAMC,DMSO,0
FAM134B1C3+FAMC,DMSO,1.4
FAM134B1C3+FAMC,FSK,6
FAM134B1C3+FAMC,FSK,13
FAM134B3C1+V5,DMSO,0
FAM134B3C1+V5,DMSO,4
FAM134B3C1+V5,DMSO,0
FAM134B3C1+V5,FSK,4
FAM134B3C1+V5,FSK,0
FAM134B3C1+V5,FSK,0
FAM134B3C1+FAMB,DMSO,0
FAM134B3C1+FAMB ,DMSO,0
FAM134B3C1+FAMB,DMSO,0
FAM134B3C1+FAMB,FSK,37
FAM134B3C1+FAMB,FSK,5
FAM134B3C1+FAMB,FSK,11
FAM134B3C1+FAMC,DMSO,0
FAM134B3C1+FAMC,DMSO,0
FAM134B3C1+FAMC,FSK,0
FAM134B3C1+FAMC ,FSK,14
